;page;depth;xmin;ymin;xmax;ymax;type;text;id
0;33;0;0;0;653.622;852.047;LTPage;"
    ";33
1;33;1;-580.276;15.0;638.622;837.047;LTRect;"
      ";33-3
2;33;2;397.329;512.42;558.472;578.604;LTTextBoxHorizontal;"3 Un commandant philippin 
à son poste de pilotage 
Le Pearl Ace est un navire marchand 
de 188 m battant pavillon panaméen. 
L’équipage est composé de 23 marins 
philippins et 2 marins japonais. ";33-3-7
3;33;2;413.844;489.588;550.505;507.588;LTTextBoxHorizontal;"Photographie de Lucie Mach, prise au Havre, 
juin 2018. ";33-3-6
4;33;2;553.447;47.52;564.567;57.52;LTTextLineHorizontal;;33-3-5
5;33;3;553.447;47.52;564.567;57.52;LTTextBoxHorizontal;65 ;33-3-5-0
6;33;2;333.584;48.442;537.64;56.586;LTTextLineHorizontal;;33-3-4
7;33;3;333.584;48.442;537.64;56.586;LTTextBoxHorizontal;CHAPITRE 1 Mers et océans : au cœur de la mondialisation ;33-3-4-0
8;33;2;66.173;425.103;369.275;785.874;LTCurve;"
        ";33-3-3
9;33;3;66.173;425.103;369.275;785.874;LTCurve;"
          ";33-3-3-0
10;33;4;78.163;763.518;153.674;777.518;LTTextLineHorizontal;;33-3-3-0-3
11;33;5;78.163;763.518;153.674;777.518;LTTextBoxHorizontal;2 Vivre en mer ;33-3-3-0-3-0
12;33;4;75.031;639.845;271.038;760.68;LTTextBoxHorizontal;"Les marins de commerce au long cours forment 
une petite communauté d’environ 1,5 million de 
travailleurs. Ils participent de la mondialisation par 
leur rôle actif dans le transport maritime mondial. 
Le marin de commerce appréhende les paysages 
de haute mer à travers la technicité de la machine 
complexe qu’est devenue le navire moderne. La 
haute mer est perçue comme un espace vide, mo- 
notone, éloigné des centres de sécurité et par là 
même dangereux. ";33-3-3-0-2
13;33;4;75.031;466.176;362.112;635.015;LTTextBoxHorizontal;"Habiter un navire, c’est habiter son lieu de tra- 
vail qui imprime bruit, balancement et vibration en 
continu. C’est aussi vivre dans un lieu mobile et isolé 
par la masse océanique. Sur de nombreux navires, 
les conditions de vie ne sont pas optimales et les 
tensions entre membres de l’équipage qui en résultent sont une réalité peu 
exprimée mais bien présente, exacerbée par les longues navigations et les 
multiples cultures présentes à bord. Violence, conduite à risques, harcèle- 
ment, dépression sont des phénomènes courants mais difficiles à quantifier. 
Le marin cohabite avec de nombreuses autres nationalités au sein 
d’équipages sans cesse recomposés. Les nationalités multiples à bord re- 
flètent la mobilité des hommes à l’échelle mondiale : sur un cargo d’une 
vingtaine de marins, il n’est pas rare de trouver jusqu’à cinq nationalités 
qui communiquent en anglais maritime. ";33-3-3-0-1
14;33;4;153.733;429.552;361.702;459.047;LTTextBoxHorizontal;"Guy Baron, chercheur à l’université de Picardie Jules-Verne, 
« Habiter les navires de commerce au long cours, avant-poste 
de la mondialisation », Géoconfluences, octobre 2014. ";33-3-3-0-0
15;33;2;66.173;72.438;369.275;413.152;LTCurve;"
        ";33-3-2
16;33;3;66.173;72.438;369.275;413.152;LTCurve;"
          ";33-3-2-0
17;33;4;78.163;390.796;274.971;404.796;LTTextLineHorizontal;;33-3-2-0-6
18;33;5;78.163;390.796;274.971;404.796;LTTextBoxHorizontal;4 Les activités des marins de commerce ;33-3-2-0-6-0
19;33;4;75.031;316.849;360.363;386.849;LTTextBoxHorizontal;"Dans les grands ports industrialisés, étendus, ultra-sécurisés, les escales 
d’aujourd’hui n’ont plus rien à voir avec celles d’autrefois. Les nécessités du 
commerce globalisé font loi et les terminaux se conforment aux injonctions 
de rapidité et de sécurité, gages d’efficacité économique. Éviter tout grain 
de sable dans l’énorme machine, réduire le temps à quai – Transit Time –, 
marteler les règles de sécurité – Safety First... ";33-3-2-0-5
20;33;4;75.031;182.015;360.355;312.019;LTTextBoxHorizontal;"Les escales des navires sont ainsi de plus en plus brèves et fréquentes. 
Les machines doivent tourner, les marchandises doivent circuler. Mais les 
marins n’ont pas disparu. Derrière les façades d’acier des coques et des 
containers, la place de l’homme se réduit, le marin est oublié, accessoire. 
Règles de sécurité, contrôle des frontières, éloignement des centres-villes, 
disparition des bars et lieux de vie, tout s’oppose à la descente à terre des 
équipages. Équipages internationalisés et réduits au strict minimum. Le plus 
grand des porte-conteneurs est aujourd’hui manœuvré par une vingtaine 
d’hommes, parfois moins. Les marins sont devenus des ouvriers mondialisés. 
Confrontés à la solitude et à l’isolement en mer, ils restent invisibles lors 
des escales qui leur permettent rarement de briser cet isolement. ";33-3-2-0-4
21;33;4;75.031;128.35;360.327;177.18;LTTextBoxHorizontal;"Originaires en majorité des Philippines, où les très nombreuses écoles 
de formation du pays leur promettent de « See the world for free and have 
a girl in every port 1 », ils s’endettent parfois pour payer leur formation. 
Mais le monde à découvrir gratuitement se révèle limité à des ports- ";33-3-2-0-3
