;page;depth;xmin;ymin;xmax;ymax;type;text;id
0;2;0;0;0;653.622;852.047;LTPage;"
    ";2
1;2;1;77.717;659.992;376.067;741.996;LTTextBoxHorizontal;"Le golfe Arabo-Persique : 
un espace au cœur des enjeux 
contemporains ";2-11
2;2;1;299.035;299.329;429.92;324.013;LTTextBoxHorizontal;"2 Une région sous tension 
Une des Échos, 14 juin 2019. 
 ";2-10
3;2;1;299.035;269.524;538.292;283.524;LTTextLineHorizontal;;2-9
4;2;2;299.035;269.524;538.292;283.524;LTTextBoxHorizontal;3 Les pays du Golfe producteurs d’hydrocarbures ;2-9-0
5;2;1;77.362;47.52;88.482;57.52;LTTextLineHorizontal;;2-8
6;2;2;77.362;47.52;88.482;57.52;LTTextBoxHorizontal;34 ;2-8-0
7;2;1;15.0;837.047;653.622;852.047;LTFigure;"
      ";2-7
8;2;2;15.0;837.047;653.622;852.047;LTFigure;;2-7-0
9;2;1;286.911;71.884;587.384;264.64;LTCurve;"
      ";2-6
10;2;2;392.328;153.104;404.517;161.604;LTTextLineHorizontal;;2-6-28
11;2;3;392.328;153.104;404.517;161.604;LTTextBoxHorizontal;6,2 ;2-6-28-0
12;2;2;347.497;144.79;358.742;153.29;LTTextLineHorizontal;;2-6-27
13;2;3;347.497;144.79;358.742;153.29;LTTextBoxHorizontal;5,1 ;2-6-27-0
14;2;2;379.705;143.278;391.478;151.778;LTTextLineHorizontal;;2-6-26
15;2;3;379.705;143.278;391.478;151.778;LTTextBoxHorizontal;4,9 ;2-6-26-0
16;2;2;360.774;108.801;373.498;117.301;LTTextLineHorizontal;;2-6-25
17;2;3;360.774;108.801;373.498;117.301;LTTextBoxHorizontal;0,3 ;2-6-25-0
18;2;2;417.545;136.478;422.288;144.978;LTTextLineHorizontal;;2-6-24
19;2;3;417.545;136.478;422.288;144.978;LTTextBoxHorizontal;4 ;2-6-24-0
20;2;2;427.567;119.095;437.274;127.595;LTTextLineHorizontal;;2-6-23
21;2;3;427.567;119.095;437.274;127.595;LTTextBoxHorizontal;1,7 ;2-6-23-0
22;2;2;447.377;131.187;459.252;139.687;LTTextLineHorizontal;;2-6-22
23;2;3;447.377;131.187;459.252;139.687;LTTextBoxHorizontal;3,3 ;2-6-22-0
24;2;2;492.461;140.259;504.769;148.759;LTTextLineHorizontal;;2-6-21
25;2;3;492.461;140.259;504.769;148.759;LTTextBoxHorizontal;4,5 ;2-6-21-0
26;2;2;480.774;119.851;491.951;128.351;LTTextLineHorizontal;;2-6-20
27;2;3;480.774;119.851;491.951;128.351;LTTextBoxHorizontal;1,8 ;2-6-20-0
28;2;2;460.969;110.03;474.135;118.53;LTTextLineHorizontal;;2-6-19
29;2;3;460.969;110.03;474.135;118.53;LTTextBoxHorizontal;0,5 ;2-6-19-0
30;2;2;515.246;113.055;540.397;123.06;LTTextLineHorizontal;;2-6-18
31;2;3;515.246;113.055;540.397;123.06;LTTextBoxHorizontal;1,1 0,9 ;2-6-18-0
32;2;2;546.397;107.129;574.315;118.397;LTTextLineHorizontal;;2-6-17
33;2;3;546.397;107.129;574.315;118.397;LTTextBoxHorizontal;0,1 0,4 ;2-6-17-0
34;2;2;351.519;92.079;366.623;100.079;LTTextLineHorizontal;;2-6-16
35;2;3;351.519;92.079;366.623;100.079;LTTextBoxHorizontal;Irak ;2-6-16-0
36;2;2;384.681;92.079;400.257;100.079;LTTextLineHorizontal;;2-6-15
37;2;3;384.681;92.079;400.257;100.079;LTTextBoxHorizontal;Iran ;2-6-15-0
38;2;2;418.627;92.079;433.107;100.079;LTTextLineHorizontal;;2-6-14
39;2;3;418.627;92.079;433.107;100.079;LTTextBoxHorizontal;ÉAU ;2-6-14-0
40;2;2;446.686;92.079;471.846;100.079;LTTextLineHorizontal;;2-6-13
41;2;3;446.686;92.079;471.846;100.079;LTTextBoxHorizontal;Koweït ;2-6-13-0
42;2;2;482.132;92.079;503.196;100.079;LTTextLineHorizontal;;2-6-12
43;2;3;482.132;92.079;503.196;100.079;LTTextBoxHorizontal;Qatar ;2-6-12-0
44;2;2;514.907;92.079;537.219;100.079;LTTextLineHorizontal;;2-6-11
45;2;3;514.907;92.079;537.219;100.079;LTTextBoxHorizontal;Oman ;2-6-11-0
46;2;2;545.484;92.079;573.444;100.079;LTTextLineHorizontal;;2-6-10
47;2;3;545.484;92.079;573.444;100.079;LTTextBoxHorizontal;Bahreïn ;2-6-10-0
48;2;2;327.372;128.166;339.263;136.666;LTTextLineHorizontal;;2-6-9
49;2;3;327.372;128.166;339.263;136.666;LTTextBoxHorizontal;2,9 ;2-6-9-0
50;2;2;309.924;82.48;341.412;100.079;LTTextBoxHorizontal;"Arabie 
Saoudite ";2-6-8
51;2;2;298.115;190.505;306.657;199.005;LTTextLineHorizontal;;2-6-7
52;2;3;298.115;190.505;306.657;199.005;LTTextBoxHorizontal;12 ;2-6-7-0
53;2;2;298.115;175.392;307.55;183.892;LTTextLineHorizontal;;2-6-6
54;2;3;298.115;175.392;307.55;183.892;LTTextBoxHorizontal;10 ;2-6-6-0
55;2;2;298.115;114.94;303.24;168.779;LTTextLineVertical;;2-6-5
56;2;3;298.115;114.94;303.24;168.779;LTTextBoxVertical;8 6 4 2 ;2-6-5-0
57;2;2;298.25;231.497;439.403;252.577;LTTextBoxHorizontal;"Production de pétrole et de gaz 
En % de la production mondiale, 2018 ";2-6-4
58;2;2;307.016;217.94;329.148;225.94;LTTextLineHorizontal;;2-6-3
59;2;3;307.016;217.94;329.148;225.94;LTTextBoxHorizontal;Pétrole ;2-6-3-0
60;2;2;348.488;217.94;362.176;225.94;LTTextLineHorizontal;;2-6-2
61;2;3;348.488;217.94;362.176;225.94;LTTextBoxHorizontal;Gaz ;2-6-2-0
62;2;2;312.531;203.739;328.103;212.239;LTTextLineHorizontal;;2-6-1
63;2;3;312.531;203.739;328.103;212.239;LTTextBoxHorizontal;12,9 ;2-6-1-0
64;2;2;429.341;81.596;576.047;87.596;LTTextLineHorizontal;;2-6-0
65;2;3;429.341;81.596;576.047;87.596;LTTextBoxHorizontal;Source : BP Statistical Review of World Energy, 2019. ;2-6-0-0
66;2;1;429.342;88.323;1005.388;169.919;LTFigure;;2-5
67;2;1;394.638;801.377;988.956;1514.914;LTFigure;;2-4
68;2;1;78.079;72.693;256.016;589.857;LTCurve;"
      ";2-3
69;2;2;78.079;72.693;256.016;589.857;LTCurve;"
        ";2-3-0
70;2;3;90.069;546.011;203.101;581.501;LTTextBoxHorizontal;"1 Un espace maritime 
au cœur d’échanges 
et de tensions ";2-3-0-3
71;2;3;86.258;362.199;250.173;540.199;LTTextBoxHorizontal;"Le golfe Arabo-Persique est une mer 
bordière1 de l’océan Indien qui commu- 
nique par le détroit d’Ormuz avec le golfe 
d’Oman, autre mer bordière de cet océan. 
Depuis l’Antiquité, le Golfe s’articule à 
l’océan Indien, à la mer Rouge et au-delà 
à la Méditerranée, grâce aux ports, mais 
aussi aux oasis des déserts par lesquels 
s’effectuent les échanges. Le Golfe est ainsi 
une interface entre ses deux rives, tantôt 
réunies, tantôt opposées. Il est un espace 
de circulation des personnes, des biens, 
des idées entre Orient et Occident, bien 
plus qu’un fossé séparant monde arabe et 
monde persan. ";2-3-0-2
